Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1401 Broadway,Rescue Elevator,07/08/2015 09:21:00 PM +0000,47.612963,-122.320762,"(47.612963, -122.320762)",F150075920
Broadway / E James Way,Aid Response,07/08/2015 09:16:00 PM +0000,47.607218,-122.320752,"(47.607218, -122.320752)",F150075919
4217 Sw Oregon St,Medic Response,07/08/2015 09:15:00 PM +0000,47.562881,-122.385671,"(47.562881, -122.385671)",F150075917
2224 8th Av,Rescue Elevator,07/08/2015 09:14:00 PM +0000,47.617439,-122.3395,"(47.617439, -122.3395)",F150075916
5107 24th Av Ne,Medic Response,07/08/2015 09:05:00 PM +0000,47.665882,-122.301932,"(47.665882, -122.301932)",F150075914
437 Ne 72nd St,Rescue Elevator,07/08/2015 09:02:00 PM +0000,47.680651,-122.323999,"(47.680651, -122.323999)",F150075912
1043 S Washington St,Aid Response,07/08/2015 09:02:00 PM +0000,47.600875,-122.317951,"(47.600875, -122.317951)",F150075911
600 Broadway,Auto Fire Alarm,07/08/2015 09:02:00 PM +0000,47.607218,-122.320752,"(47.607218, -122.320752)",F150075910
1415 5th Av,Rescue Elevator,07/08/2015 09:01:00 PM +0000,47.609827,-122.334796,"(47.609827, -122.334796)",F150075909
1421 34th Av,Auto Fire Alarm,07/08/2015 09:01:00 PM +0000,47.613125,-122.289299,"(47.613125, -122.289299)",F150075905
415 10th Av,Rescue Elevator,07/08/2015 09:01:00 PM +0000,47.605346,-122.319413,"(47.605346, -122.319413)",F150075906
418 Bellevue Av E,Auto Fire Alarm,07/08/2015 09:00:00 PM +0000,47.622183,-122.326586,"(47.622183, -122.326586)",F150075901
907 Pine St,Aid Response,07/08/2015 09:00:00 PM +0000,47.613561,-122.331963,"(47.613561, -122.331963)",F150075904
914 E Terrace St,Rescue Elevator,07/08/2015 08:59:00 PM +0000,47.605223,-122.320558,"(47.605223, -122.320558)",F150075900
E Pine St / 21st Av,Brush Fire,07/08/2015 08:57:00 PM +0000,47.615289,-122.304889,"(47.615289, -122.304889)",F150075895
23rd Av / E Pike St,Medic Response,07/08/2015 08:57:00 PM +0000,47.614155,-122.302678,"(47.614155, -122.302678)",F150075894
1401 E Yesler Way,Auto Fire Alarm,07/08/2015 08:57:00 PM +0000,47.601689,-122.314149,"(47.601689, -122.314149)",F150075897
666 S Dearborn St,Aid Response,07/08/2015 08:37:00 PM +0000,47.595834,-122.324633,"(47.595834, -122.324633)",F150075893
4550 16th Av Ne,Auto Fire Alarm,07/08/2015 08:34:00 PM +0000,47.66171,-122.31085,"(47.66171, -122.31085)",F150075891
1705 Ne Pacific St,Aid Response,07/08/2015 08:32:00 PM +0000,47.652037,-122.310567,"(47.652037, -122.310567)",F150075890
1801 16th Av Sw,Medic Response,07/08/2015 08:29:00 PM +0000,47.586231,-122.355429,"(47.586231, -122.355429)",F150075885
3rd Av / Stewart St,Aid Response,07/08/2015 08:29:00 PM +0000,47.611629,-122.339592,"(47.611629, -122.339592)",F150075887
2401 Utah Av S,Aid Response,07/08/2015 08:28:00 PM +0000,47.581888,-122.335125,"(47.581888, -122.335125)",F150075884
3rd Av / Stewart St,Aid Response,07/08/2015 08:26:00 PM +0000,47.611629,-122.339592,"(47.611629, -122.339592)",F150075882
4410 Latona Av Ne,Aid Response,07/08/2015 08:26:00 PM +0000,47.660315,-122.325123,"(47.660315, -122.325123)",F150075883
